# Файл с достопримечательностями
# Формат: достопримечательность|страна
# Строки с # игнорируются

Эйфелева башня|Франция
Статуя Свободы|США
Колизей|Италия
Тадж-Махал|Индия
Великая Китайская стена|Китай
Мачу-Пикчу|Перу
Петра|Иордания
Биг-Бен|Великобритания
Пизанская башня|Италия
Сиднейский оперный театр|Австралия
Храм Неба|Китай
Кремль|Россия
Гиза (пирамиды)|Египет
Статуя Христа-Искупителя|Бразилия
Стоунхендж|Великобритания
Акрополь|Греция
Собор Святого Петра|Ватикан
Бурдж-Халифа|ОАЭ
Фудзияма|Япония
Голубая мечеть|Турция
